case,event,timestamp,lifecycle,apploc:joinpoint,apprun:nanotime,apploc:app,apploc:linenr,apploc:etype,apprun:threadid,apploc:filename,apploc:node,apploc:regionstr,apploc:tier
,org.junit.runner.JUnitCore.main(java.lang.String[]),53:29.0,start,org.junit.runner.JUnitCore.main(java.lang.String[]),4.84229E+12,junit-4.12,36,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCore.main(java.lang.String[]),53:29.0,complete,org.junit.runner.JUnitCore.main(java.lang.String[]),4.84229E+12,junit-4.12,36,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])",53:29.0,start,"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])",4.84233E+12,junit-4.12,70,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.0,start,org.junit.internal.RealSystem.out(),4.84233E+12,junit-4.12,16,call,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.0,start,org.junit.internal.RealSystem.out(),4.84233E+12,junit-4.12,16,return,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])",53:29.0,complete,"org.junit.runner.JUnitCore.runMain(org.junit.internal.JUnitSystem,java.lang.String[])",4.84233E+12,junit-4.12,70,call,1,JUnitCore.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.0,complete,org.junit.internal.RealSystem.out(),4.84233E+12,junit-4.12,16,call,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.RealSystem.out(),53:29.0,complete,org.junit.internal.RealSystem.out(),4.84233E+12,junit-4.12,16,return,1,RealSystem.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[]),53:29.1,start,org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[]),4.84235E+12,junit-4.12,42,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[]),53:29.1,complete,org.junit.runner.JUnitCommandLineParseResult.parse(java.lang.String[]),4.84235E+12,junit-4.12,42,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),53:29.1,start,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),4.84235E+12,junit-4.12,54,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),53:29.1,start,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),4.84235E+12,junit-4.12,54,return,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),53:29.1,complete,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),4.84235E+12,junit-4.12,54,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),53:29.1,complete,org.junit.runner.JUnitCommandLineParseResult.parseOptions(java.lang.String[]),4.84235E+12,junit-4.12,54,return,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[]),53:29.1,start,org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[]),4.84235E+12,junit-4.12,98,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[]),53:29.1,complete,org.junit.runner.JUnitCommandLineParseResult.parseParameters(java.lang.String[]),4.84235E+12,junit-4.12,98,call,1,JUnitCommandLineParseResult.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.Classes.getClass(java.lang.String),53:29.1,start,org.junit.internal.Classes.getClass(java.lang.String),4.84235E+12,junit-4.12,16,call,1,Classes.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.Classes.getClass(java.lang.String),53:29.1,complete,org.junit.internal.Classes.getClass(java.lang.String),4.84235E+12,junit-4.12,16,call,1,Classes.java,CalculatorTest,,hamcrest-core-1.3
,org.junit.internal.Classes.getClass(java.lang.String),53:29.1,start,org.junit.internal.Classes.getClass(java.lang.String),4.84236E+12,junit-4.12,16,return,1,Classes.java,CalculatorTest,,hamcrest-core-1.3
